state_name,date,election_type,party,govt_type,election_key,state_abbr
washington,2020-08-04,cp,n/a,congress,2020-08-04-cp-WA,WA
tennessee,2020-08-06,cp,n/a,congress,2020-08-06-cp-TN,TN
hawaii,2020-08-08,cp,n/a,congress,2020-08-08-cp-HI,HI
puerto rico,2020-08-09,cp,n/a,congress,2020-08-09-cp-PR,PR
minnesota,2020-08-11,cp,n/a,congress,2020-08-11-cp-MN,MN
vermont,2020-08-11,cp,n/a,congress,2020-08-11-cp-VT,VT
wisconsin,2020-08-11,cp,n/a,congress,2020-08-11-cp-WI,WI
connecticut,2020-08-11,cp,n/a,congress,2020-08-11-cp-CT,CT
alaska,2020-08-18,cp,n/a,congress,2020-08-18-cp-AK,AK
florida,2020-08-18,cp,n/a,congress,2020-08-18-cp-FL,FL
wyoming,2020-08-18,cp,n/a,congress,2020-08-18-cp-WY,WY
guam,2020-08-29,cp,n/a,congress,2020-08-29-cp-GU,GU
massachusetts,2020-09-01,cp,n/a,congress,2020-09-01-cp-MA,MA
new hampshire,2020-09-08,cp,n/a,congress,2020-09-08-cp-NH,NH
rhode island,2020-09-08,cp,n/a,congress,2020-09-08-cp-RI,RI
delaware,2020-09-15,cp,n/a,congress,2020-09-15-cp-DE,DE
alabama,2002-06-04,cp,n/a,congress,2002-06-04-cp-AL,AL
alaska,2002-08-27,cp,n/a,congress,2002-08-27-cp-AK,AK
american samoa,2002-11-05,cp,n/a,congress,2002-11-05-cp-AS,AS
arizona,2002-09-10,cp,n/a,congress,2002-09-10-cp-AZ,AZ
arkansas,2002-05-21,cp,n/a,congress,2002-05-21-cp-AR,AR
california,2002-03-05,cp,n/a,congress,2002-03-05-cp-CA,CA
colorado,2002-08-13,cp,n/a,congress,2002-08-13-cp-CO,CO
connecticut,2002-09-10,cp,n/a,congress,2002-09-10-cp-CT,CT
delaware,2002-09-07,cp,n/a,congress,2002-09-07-cp-DE,DE
d.c.,2002-09-10,cp,n/a,congress,,
florida,2002-09-10,cp,n/a,congress,2002-09-10-cp-FL,FL
georgia,2002-08-20,cp,n/a,congress,2002-08-20-cp-GA,GA
guam,2002-09-07,cp,n/a,congress,2002-09-07-cp-GU,GU
hawaii,2002-09-21,cp,n/a,congress,2002-09-21-cp-HI,HI
idaho,2002-05-28,cp,n/a,congress,2002-05-28-cp-ID,ID
illinois,2002-03-19,cp,n/a,congress,2002-03-19-cp-IL,IL
indiana,2002-05-07,cp,n/a,congress,2002-05-07-cp-IN,IN
iowa,2002-06-04,cp,n/a,congress,2002-06-04-cp-IA,IA
kansas,2002-08-06,cp,n/a,congress,2002-08-06-cp-KS,KS
kentucky,2002-05-28,cp,n/a,congress,2002-05-28-cp-KY,KY
maine,2002-06-11,cp,n/a,congress,2002-06-11-cp-ME,ME
maryland,2002-09-10,cp,n/a,congress,2002-09-10-cp-MD,MD
massachusetts,2002-09-17,cp,n/a,congress,2002-09-17-cp-MA,MA
michigan,2002-08-06,cp,n/a,congress,2002-08-06-cp-MI,MI
minnesota,2002-09-10,cp,n/a,congress,2002-09-10-cp-MN,MN
mississippi,2002-06-04,cp,n/a,congress,2002-06-04-cp-MS,MS
missouri,2002-08-06,cp,n/a,congress,2002-08-06-cp-MO,MO
montana,2002-06-04,cp,n/a,congress,2002-06-04-cp-MT,MT
nebraska,2002-05-14,cp,n/a,congress,2002-05-14-cp-NE,NE
nevada,2002-09-03,cp,n/a,congress,2002-09-03-cp-NV,NV
new hampshire,2002-09-10,cp,n/a,congress,2002-09-10-cp-NH,NH
new jersey,2002-06-04,cp,n/a,congress,2002-06-04-cp-NJ,NJ
new mexico,2002-06-04,cp,n/a,congress,2002-06-04-cp-NM,NM
new york,2002-09-10,cp,n/a,congress,2002-09-10-cp-NY,NY
north carolina,2002-09-10,cp,n/a,congress,2002-09-10-cp-NC,NC
north dakota,2002-06-11,cp,n/a,congress,2002-06-11-cp-ND,ND
ohio,2002-05-07,cp,n/a,congress,2002-05-07-cp-OH,OH
oklahoma,2002-08-27,cp,n/a,congress,2002-08-27-cp-OK,OK
oregon,2002-05-21,cp,n/a,congress,2002-05-21-cp-OR,OR
pennsylvania,2002-05-21,cp,n/a,congress,2002-05-21-cp-PA,PA
rhode island,2002-09-10,cp,n/a,congress,2002-09-10-cp-RI,RI
south carolina,2002-06-11,cp,n/a,congress,2002-06-11-cp-SC,SC
south dakota,2002-06-04,cp,n/a,congress,2002-06-04-cp-SD,SD
tennessee,2002-08-01,cp,n/a,congress,2002-08-01-cp-TN,TN
texas,2002-03-12,cp,n/a,congress,2002-03-12-cp-TX,TX
utah,2002-06-25,cp,n/a,congress,2002-06-25-cp-UT,UT
vermont,2002-09-10,cp,n/a,congress,2002-09-10-cp-VT,VT
